"blog_id","blog_name","blog_description","blog_url","blog_author","blog_author_twitter_username","blog_rss_feed","blog_tags",id,blog_RSSCrawl_active,blog_last_post_timestamp,"blog_crawlingType","created_at","updated_at",hours_bw_posts_median,hours_bw_posts_average,"reason_for_deactivation","blog_thumb"
"alishehab","علي شهاب","الموت سهل..لما تكون عارف حالك لوين رايح","http://www.alishehab.com/","Ali Shehab","alishehab","http://www.alishehab.com/feeds/posts/default?alt=rss","politics",243,0,1422309300,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"alishehab"
"cookin5m2","Cook In Five Square Meters","Cookin5m2 is the only recipe blog by a male in Lebanon. More than a 100 recipes with easy-to-follow directions & mouthwatering photos by Hisham Assaad","http://cookin5m2.wordpress.com/","Hisham Assaad","hishamad","http://cookin5m2.wordpress.com/feed/","food",244,1,1504009860,"","0000-00-00 00:00:00","2017-08-29 12:31:59",NULL,NULL,NULL,"cookin5m2"
"2famous","2famous.TV","A daily source of culture, life, politics and stardom in the Middle East.","http://2famous.tv","Various","2famoustv","http://2famous.tv/feed/","society",245,0,1404136020,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"2famous"
"forgivingbeirut","Forgiving Beirut","For sensitive readers and everybody who shed tears when Titanic was rolling credits to a Celine Dion song, please spare yourself from reading this blog. It is bad for you","http://forgivingbeirut.wordpress.com/","Korben Dallas","forgivingbeirut","http://forgivingbeirut.wordpress.com/feed/","society, politics",246,1,1487091240,"","0000-00-00 00:00:00","2017-02-14 17:02:29",NULL,NULL,NULL,"forgivingbeirut"
"nouchaline","Nouchaline: My Fashion Blog","I'm just your normal shoe addicted girl who loves and appreciates fashion, who also happens to live in one of the most fashionable cities in the world...Beirut, Lebanon","http://nouchaline.blogspot.com/","Aline CH","nouchaline","http://nouchaline.blogspot.com/feeds/posts/default?alt=rss","fashion",247,1,1506935160,"","0000-00-00 00:00:00","2017-10-02 09:31:44",NULL,NULL,NULL,"nouchaline"
"violatre","viola' illustrations by Nadine Feghaly","I'm a Lebanese illustrator and visual artist. I love creating colorful worlds 
based on poetry, day dreams and stories.","http://violatre.blogspot.com/","Nadine Feghaly","nadinefeghaly","http://feeds.feedburner.com/blogspot/YkCV","art,design,society",248,1,1503995460,"","0000-00-00 00:00:00","2017-08-29 09:01:48",NULL,NULL,NULL,"violatre"
"jeremyarbid","jeremy arbid","Defining public policy issues in Lebanon and the MENA region: analysis | consulting | reporting","http://jeremyarbid.com","Jeremy Arbid","jeremyarbid","http://jeremyarbid.com/feed/","politics",249,0,1417689780,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","jeremyarbid"
"dreamofchange","The T times...","In no way related to tea....","http://dreamofchange.wordpress.com/","Tarek Wheibi","","http://dreamofchange.wordpress.com/feed/","politics, society",250,0,1408279080,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","dreamofchange"
"mariafrangieh","Maria Frangieh","Be the change you want to see in the world","http://mariafrangieh.com/","Maria Frangieh","mariafrangieh","http://mariafrangieh.com/feed/","society, fashion",251,0,1449963480,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"mariafrangieh"
"chantalsouaid","Chantal's thoughts","some of my random thought...","http://chantalsouaid.com/","Chantal Souaid","chantal_souaid","http://chantalsouaid.com/feed/","food, society",252,1,1506884220,"","0000-00-00 00:00:00","2017-10-01 19:01:56",NULL,NULL,NULL,"chantalsouaid"
"keystomykitchen","Keys to my Kitchen","Allow me to share what comes out of my kitchen – fun stories, simple ideas, and of course recipes that are lovely, straightforward, and fine-tuned a hundred times! ","http://keystomykitchen.com/","Lara Aris","keystomykitchen","http://keystomykitchen.com/feed/","food",253,0,1449495420,"","0000-00-00 00:00:00","2017-01-03 05:36:13",NULL,NULL,"More than 1 year since last post","keystomykitchen"
